Lose Control,Teddy Swims,2024,1,0
A Bar Song (Tipsy),Shaboozey,2024,2,0
Beautiful Things,Benson Boone,2024,3,0
I Had Some Help,Post Malone (feat. Morgan Wallen),2024,4,0
Lovin on Me,Jack Harlow,2024,5,0
Not Like Us,Kendrick Lamar,2024,6,0
Espresso,Sabrina Carpenter,2024,7,0
Million Dollar Baby,Tommy Richman,2024,8,0
I Remember Everything,Zach Bryan (feat. Kacey Musgraves),2024,9,0
Too Sweet,Hozier,2024,10,0
Stick Season,Noah Kahan,2024,11,0
Cruel Summer,Taylor Swift,2024,12,0
Greedy,Tate McRae,2024,13,0
Like That,Future\, Metro Boomin & Kendrick Lamar,2024,14,0
Birds of a Feather,Billie Eilish,2024,15,0
Please Please Please,Sabrina Carpenter,2024,16,0
Agora Hills,Doja Cat,2024,17,0
Good Luck\, Babe!,Chappell Roan,2024,18,0
Saturn,SZA,2024,19,0
Snooze,SZA,2024,20,0
Paint the Town Red,Doja Cat,2024,21,0
Fortnight,Taylor Swift (feat. Post Malone),2024,22,0
Fast Car,Luke Combs,2024,23,0
Water,Tyla,2024,24,0
Feather,Sabrina Carpenter,2024,25,0
We Can't Be Friends (Wait for Your Love),Ariana Grande,2024,26,0
Austin,Dasha,2024,27,0
Last Night,Morgan Wallen,2024,28,0
Cowgirls,Morgan Wallen (feat. Ernest),2024,29,0
Pink Skies,Zach Bryan,2024,30,0
Thinkin' Bout Me,Morgan Wallen,2024,31,0
Texas Hold 'Em,Beyoncé,2024,32,0
Is It Over Now?,Taylor Swift,2024,33,0
Miles on It,Marshmello & Kane Brown,2024,34,0
I Can Do It with a Broken Heart,Taylor Swift,2024,35,0
Wild Ones,Jessie Murph & Jelly Roll,2024,36,0
Ain't No Love in Oklahoma,Luke Combs,2024,37,0
Carnival,¥$: Ye & Ty Dolla $ign (feat. Rich the Kid & Playboi Carti),2024,38,0
Houdini,Eminem,2024,39,0
Wanna Be,GloRilla & Megan Thee Stallion,2024,40,0
Slow It Down,Benson Boone,2024,41,0
Redrum,21 Savage,2024,42,0
Houdini,Dua Lipa,2024,43,0
Yeah Glo!,GloRilla,2024,44,0
Rich Baby Daddy,Drake (feat. Sexyy Red & SZA),2024,45,0
What Was I Made For?,Billie Eilish,2024,46,0
End of Beginning,Djo,2024,47,0
Lunch,Billie Eilish,2024,48,0
Never Lose Me,Flo Milli,2024,49,0
Lies Lies Lies,Morgan Wallen,2024,50,0
Type Shit,Future\, Metro Boomin\, Travis Scott\, & Playboi Carti,2024,51,0
Gata Only,FloyyMenor & Cris MJ,2024,52,0
Hot to Go!,Chappell Roan,2024,53,0
All I Want for Christmas Is You,Mariah Carey,2024,54,0
Get It Sexyy,Sexyy Red,2024,55,0
Made for Me,Muni Long,2024,56,0
Vampire,Olivia Rodrigo,2024,57,0
Whatever She Wants,Bryson Tiller,2024,58,0
Rockin' Around the Christmas Tree,Brenda Lee,2024,59,0
Pretty Little Poison,Warren Zeiders,2024,60,0
First Person Shooter,Drake (feat. J. Cole),2024,61,0
Die with a Smile,Lady Gaga & Bruno Mars,2024,62,0
I Like the Way You Kiss Me,Artemas,2024,63,0
Need a Favor,Jelly Roll,2024,64,0
Save Me,Jelly Roll (feat. Lainey Wilson),2024,65,0
Euphoria,Kendrick Lamar,2024,66,0
Truck Bed,Hardy,2024,67,0
Jingle Bell Rock,Bobby Helms,2024,68,0
Flowers,Miley Cyrus,2024,69,0
Where the Wild Things Are,Luke Combs,2024,70,0
Everybody,Nicki Minaj (feat. Lil Uzi Vert),2024,71,0
La Diabla,Xavi,2024,72,0
Stargazing,Myles Smith,2024,73,0
Last Christmas,Wham!,2024,74,0
I Am Not Okay,Jelly Roll,2024,75,0
Pour Me a Drink,Post Malone (feat. Blake Shelton),2024,76,0
White Horse,Chris Stapleton,2024,77,0
Lil Boo Thang,Paul Russell,2024,78,0
Good Good,Usher\, Summer Walker & 21 Savage,2024,79,0
Act II: Date @ 8,4Batz & Drake,2024,80,0
High Road,Koe Wetzel (feat. Jessie Murph),2024,81,0
Monaco,Bad Bunny,2024,82,0
IDGAF,Drake (feat. Yeat),2024,83,0
Burn It Down,Parker McCollum,2024,84,0
FukUMean,Gunna,2024,85,0
Taste,Sabrina Carpenter,2024,86,0
Where It Ends,Bailey Zimmerman,2024,87,0
FTCU,Nicki Minaj,2024,88,0
Wildflower,Billie Eilish,2024,89,0
World on Fire,Nate Smith,2024,90,0
On My Mama,Victoria Monét,2024,91,0
Yes\, And?,Ariana Grande,2024,92,0
Exes,Tate McRae,2024,93,0
A Holly Jolly Christmas,Burl Ives,2024,94,0
Wind Up Missin' You,Tucker Wetmore,2024,95,0
Bulletproof,Nate Smith,2024,96,0
Fe!n,Travis Scott (feat. Playboi Carti),2024,97,0
The Painter,Cody Johnson,2024,98,0
Down Bad,Taylor Swift,2024,99,0
Dance the Night,Dua Lipa,2024,100,0
